EnhA1	Enh
EnhA2	Enh
EnhBiv	Enh
EnhG1	Enh
EnhG2	Enh
EnhWk	Enh
Het	Het
Quies	Quies
ReprPC	ReprPC
ReprPCWk	ReprPC
TssA	Tss
TssBiv	Tss
TssFlnk	Tss
TssFlnkD	Tss
TssFlnkU	Tss
Tx	Tx
TxWk	Tx
Znf/Rpts	Znf/Rpts
